ERROR:root:Division by zero error: division by zero
ERROR:root:This is an error message
CRITICAL:root:This is a critical message
ERROR:root:This is an error message.
DEBUG:MyLogger:This is log message number 251
DEBUG:MyLogger:This is log message number 252
DEBUG:MyLogger:This is log message number 253
DEBUG:MyLogger:This is log message number 254
DEBUG:MyLogger:This is log message number 255
DEBUG:MyLogger:This is log message number 256
DEBUG:MyLogger:This is log message number 257
DEBUG:MyLogger:This is log message number 258
DEBUG:MyLogger:This is log message number 259
DEBUG:MyLogger:This is log message number 260
DEBUG:MyLogger:This is log message number 261
DEBUG:MyLogger:This is log message number 262
DEBUG:MyLogger:This is log message number 263
DEBUG:MyLogger:This is log message number 264
DEBUG:MyLogger:This is log message number 265
DEBUG:MyLogger:This is log message number 266
DEBUG:MyLogger:This is log message number 267
DEBUG:MyLogger:This is log message number 268
DEBUG:MyLogger:This is log message number 269
DEBUG:MyLogger:This is log message number 270
DEBUG:MyLogger:This is log message number 271
DEBUG:MyLogger:This is log message number 272
DEBUG:MyLogger:This is log message number 273
DEBUG:MyLogger:This is log message number 274
DEBUG:MyLogger:This is log message number 275
DEBUG:MyLogger:This is log message number 276
DEBUG:MyLogger:This is log message number 277
DEBUG:MyLogger:This is log message number 278
DEBUG:MyLogger:This is log message number 279
DEBUG:MyLogger:This is log message number 280
DEBUG:MyLogger:This is log message number 281
DEBUG:MyLogger:This is log message number 282
DEBUG:MyLogger:This is log message number 283
DEBUG:MyLogger:This is log message number 284
DEBUG:MyLogger:This is log message number 285
DEBUG:MyLogger:This is log message number 286
DEBUG:MyLogger:This is log message number 287
DEBUG:MyLogger:This is log message number 288
DEBUG:MyLogger:This is log message number 289
DEBUG:MyLogger:This is log message number 290
DEBUG:MyLogger:This is log message number 291
DEBUG:MyLogger:This is log message number 292
DEBUG:MyLogger:This is log message number 293
DEBUG:MyLogger:This is log message number 294
DEBUG:MyLogger:This is log message number 295
DEBUG:MyLogger:This is log message number 296
DEBUG:MyLogger:This is log message number 297
DEBUG:MyLogger:This is log message number 298
DEBUG:MyLogger:This is log message number 299
DEBUG:MyLogger:This is log message number 300
DEBUG:MyLogger:This is log message number 301
DEBUG:MyLogger:This is log message number 302
DEBUG:MyLogger:This is log message number 303
DEBUG:MyLogger:This is log message number 304
DEBUG:MyLogger:This is log message number 305
DEBUG:MyLogger:This is log message number 306
DEBUG:MyLogger:This is log message number 307
DEBUG:MyLogger:This is log message number 308
DEBUG:MyLogger:This is log message number 309
DEBUG:MyLogger:This is log message number 310
DEBUG:MyLogger:This is log message number 311
DEBUG:MyLogger:This is log message number 312
DEBUG:MyLogger:This is log message number 313
DEBUG:MyLogger:This is log message number 314
DEBUG:MyLogger:This is log message number 315
DEBUG:MyLogger:This is log message number 316
DEBUG:MyLogger:This is log message number 317
DEBUG:MyLogger:This is log message number 318
DEBUG:MyLogger:This is log message number 319
DEBUG:MyLogger:This is log message number 320
DEBUG:MyLogger:This is log message number 321
DEBUG:MyLogger:This is log message number 322
DEBUG:MyLogger:This is log message number 323
DEBUG:MyLogger:This is log message number 324
DEBUG:MyLogger:This is log message number 325
DEBUG:MyLogger:This is log message number 326
DEBUG:MyLogger:This is log message number 327
DEBUG:MyLogger:This is log message number 328
DEBUG:MyLogger:This is log message number 329
DEBUG:MyLogger:This is log message number 330
DEBUG:MyLogger:This is log message number 331
DEBUG:MyLogger:This is log message number 332
DEBUG:MyLogger:This is log message number 333
DEBUG:MyLogger:This is log message number 334
DEBUG:MyLogger:This is log message number 335
DEBUG:MyLogger:This is log message number 336
DEBUG:MyLogger:This is log message number 337
DEBUG:MyLogger:This is log message number 338
DEBUG:MyLogger:This is log message number 339
DEBUG:MyLogger:This is log message number 340
DEBUG:MyLogger:This is log message number 341
DEBUG:MyLogger:This is log message number 342
DEBUG:MyLogger:This is log message number 343
DEBUG:MyLogger:This is log message number 344
DEBUG:MyLogger:This is log message number 345
DEBUG:MyLogger:This is log message number 346
DEBUG:MyLogger:This is log message number 347
DEBUG:MyLogger:This is log message number 348
DEBUG:MyLogger:This is log message number 349
DEBUG:MyLogger:This is log message number 350
DEBUG:MyLogger:This is log message number 351
DEBUG:MyLogger:This is log message number 352
DEBUG:MyLogger:This is log message number 353
DEBUG:MyLogger:This is log message number 354
DEBUG:MyLogger:This is log message number 355
DEBUG:MyLogger:This is log message number 356
DEBUG:MyLogger:This is log message number 357
DEBUG:MyLogger:This is log message number 358
DEBUG:MyLogger:This is log message number 359
DEBUG:MyLogger:This is log message number 360
DEBUG:MyLogger:This is log message number 361
DEBUG:MyLogger:This is log message number 362
DEBUG:MyLogger:This is log message number 363
DEBUG:MyLogger:This is log message number 364
DEBUG:MyLogger:This is log message number 365
DEBUG:MyLogger:This is log message number 366
DEBUG:MyLogger:This is log message number 367
DEBUG:MyLogger:This is log message number 368
DEBUG:MyLogger:This is log message number 369
DEBUG:MyLogger:This is log message number 370
DEBUG:MyLogger:This is log message number 371
DEBUG:MyLogger:This is log message number 372
DEBUG:MyLogger:This is log message number 373
DEBUG:MyLogger:This is log message number 374
DEBUG:MyLogger:This is log message number 375
DEBUG:MyLogger:This is log message number 376
DEBUG:MyLogger:This is log message number 377
DEBUG:MyLogger:This is log message number 378
DEBUG:MyLogger:This is log message number 379
DEBUG:MyLogger:This is log message number 380
DEBUG:MyLogger:This is log message number 381
DEBUG:MyLogger:This is log message number 382
DEBUG:MyLogger:This is log message number 383
DEBUG:MyLogger:This is log message number 384
DEBUG:MyLogger:This is log message number 385
DEBUG:MyLogger:This is log message number 386
DEBUG:MyLogger:This is log message number 387
DEBUG:MyLogger:This is log message number 388
DEBUG:MyLogger:This is log message number 389
DEBUG:MyLogger:This is log message number 390
DEBUG:MyLogger:This is log message number 391
DEBUG:MyLogger:This is log message number 392
DEBUG:MyLogger:This is log message number 393
DEBUG:MyLogger:This is log message number 394
DEBUG:MyLogger:This is log message number 395
DEBUG:MyLogger:This is log message number 396
DEBUG:MyLogger:This is log message number 397
DEBUG:MyLogger:This is log message number 398
DEBUG:MyLogger:This is log message number 399
DEBUG:MyLogger:This is log message number 400
DEBUG:MyLogger:This is log message number 401
DEBUG:MyLogger:This is log message number 402
DEBUG:MyLogger:This is log message number 403
DEBUG:MyLogger:This is log message number 404
DEBUG:MyLogger:This is log message number 405
DEBUG:MyLogger:This is log message number 406
DEBUG:MyLogger:This is log message number 407
DEBUG:MyLogger:This is log message number 408
DEBUG:MyLogger:This is log message number 409
DEBUG:MyLogger:This is log message number 410
DEBUG:MyLogger:This is log message number 411
DEBUG:MyLogger:This is log message number 412
DEBUG:MyLogger:This is log message number 413
DEBUG:MyLogger:This is log message number 414
DEBUG:MyLogger:This is log message number 415
DEBUG:MyLogger:This is log message number 416
DEBUG:MyLogger:This is log message number 417
DEBUG:MyLogger:This is log message number 418
DEBUG:MyLogger:This is log message number 419
DEBUG:MyLogger:This is log message number 420
DEBUG:MyLogger:This is log message number 421
DEBUG:MyLogger:This is log message number 422
DEBUG:MyLogger:This is log message number 423
DEBUG:MyLogger:This is log message number 424
DEBUG:MyLogger:This is log message number 425
DEBUG:MyLogger:This is log message number 426
DEBUG:MyLogger:This is log message number 427
DEBUG:MyLogger:This is log message number 428
DEBUG:MyLogger:This is log message number 429
DEBUG:MyLogger:This is log message number 430
DEBUG:MyLogger:This is log message number 431
DEBUG:MyLogger:This is log message number 432
DEBUG:MyLogger:This is log message number 433
DEBUG:MyLogger:This is log message number 434
DEBUG:MyLogger:This is log message number 435
DEBUG:MyLogger:This is log message number 436
DEBUG:MyLogger:This is log message number 437
DEBUG:MyLogger:This is log message number 438
DEBUG:MyLogger:This is log message number 439
DEBUG:MyLogger:This is log message number 440
DEBUG:MyLogger:This is log message number 441
DEBUG:MyLogger:This is log message number 442
DEBUG:MyLogger:This is log message number 443
DEBUG:MyLogger:This is log message number 444
DEBUG:MyLogger:This is log message number 445
DEBUG:MyLogger:This is log message number 446
DEBUG:MyLogger:This is log message number 447
DEBUG:MyLogger:This is log message number 448
DEBUG:MyLogger:This is log message number 449
DEBUG:MyLogger:This is log message number 450
DEBUG:MyLogger:This is log message number 451
DEBUG:MyLogger:This is log message number 452
DEBUG:MyLogger:This is log message number 453
DEBUG:MyLogger:This is log message number 454
DEBUG:MyLogger:This is log message number 455
DEBUG:MyLogger:This is log message number 456
DEBUG:MyLogger:This is log message number 457
DEBUG:MyLogger:This is log message number 458
DEBUG:MyLogger:This is log message number 459
DEBUG:MyLogger:This is log message number 460
DEBUG:MyLogger:This is log message number 461
DEBUG:MyLogger:This is log message number 462
DEBUG:MyLogger:This is log message number 463
DEBUG:MyLogger:This is log message number 464
DEBUG:MyLogger:This is log message number 465
DEBUG:MyLogger:This is log message number 466
DEBUG:MyLogger:This is log message number 467
DEBUG:MyLogger:This is log message number 468
DEBUG:MyLogger:This is log message number 469
DEBUG:MyLogger:This is log message number 470
DEBUG:MyLogger:This is log message number 471
DEBUG:MyLogger:This is log message number 472
DEBUG:MyLogger:This is log message number 473
DEBUG:MyLogger:This is log message number 474
DEBUG:MyLogger:This is log message number 475
DEBUG:MyLogger:This is log message number 476
DEBUG:MyLogger:This is log message number 477
DEBUG:MyLogger:This is log message number 478
DEBUG:MyLogger:This is log message number 479
DEBUG:MyLogger:This is log message number 480
DEBUG:MyLogger:This is log message number 481
DEBUG:MyLogger:This is log message number 482
DEBUG:MyLogger:This is log message number 483
DEBUG:MyLogger:This is log message number 484
DEBUG:MyLogger:This is log message number 485
DEBUG:MyLogger:This is log message number 486
DEBUG:MyLogger:This is log message number 487
DEBUG:MyLogger:This is log message number 488
DEBUG:MyLogger:This is log message number 489
DEBUG:MyLogger:This is log message number 490
DEBUG:MyLogger:This is log message number 491
DEBUG:MyLogger:This is log message number 492
DEBUG:MyLogger:This is log message number 493
DEBUG:MyLogger:This is log message number 494
DEBUG:MyLogger:This is log message number 495
DEBUG:MyLogger:This is log message number 496
DEBUG:MyLogger:This is log message number 497
DEBUG:MyLogger:This is log message number 498
DEBUG:MyLogger:This is log message number 499
DEBUG:MyLogger:This is log message number 500
DEBUG:MyLogger:This is log message number 501
DEBUG:MyLogger:This is log message number 502
DEBUG:MyLogger:This is log message number 503
DEBUG:MyLogger:This is log message number 504
DEBUG:MyLogger:This is log message number 505
DEBUG:MyLogger:This is log message number 506
DEBUG:MyLogger:This is log message number 507
DEBUG:MyLogger:This is log message number 508
DEBUG:MyLogger:This is log message number 509
DEBUG:MyLogger:This is log message number 510
DEBUG:MyLogger:This is log message number 511
DEBUG:MyLogger:This is log message number 512
DEBUG:MyLogger:This is log message number 513
DEBUG:MyLogger:This is log message number 514
DEBUG:MyLogger:This is log message number 515
DEBUG:MyLogger:This is log message number 516
DEBUG:MyLogger:This is log message number 517
DEBUG:MyLogger:This is log message number 518
DEBUG:MyLogger:This is log message number 519
DEBUG:MyLogger:This is log message number 520
DEBUG:MyLogger:This is log message number 521
DEBUG:MyLogger:This is log message number 522
DEBUG:MyLogger:This is log message number 523
DEBUG:MyLogger:This is log message number 524
DEBUG:MyLogger:This is log message number 525
DEBUG:MyLogger:This is log message number 526
DEBUG:MyLogger:This is log message number 527
DEBUG:MyLogger:This is log message number 528
DEBUG:MyLogger:This is log message number 529
DEBUG:MyLogger:This is log message number 530
DEBUG:MyLogger:This is log message number 531
DEBUG:MyLogger:This is log message number 532
DEBUG:MyLogger:This is log message number 533
DEBUG:MyLogger:This is log message number 534
DEBUG:MyLogger:This is log message number 535
DEBUG:MyLogger:This is log message number 536
DEBUG:MyLogger:This is log message number 537
DEBUG:MyLogger:This is log message number 538
DEBUG:MyLogger:This is log message number 539
DEBUG:MyLogger:This is log message number 540
DEBUG:MyLogger:This is log message number 541
DEBUG:MyLogger:This is log message number 542
DEBUG:MyLogger:This is log message number 543
DEBUG:MyLogger:This is log message number 544
DEBUG:MyLogger:This is log message number 545
DEBUG:MyLogger:This is log message number 546
DEBUG:MyLogger:This is log message number 547
DEBUG:MyLogger:This is log message number 548
DEBUG:MyLogger:This is log message number 549
DEBUG:MyLogger:This is log message number 550
DEBUG:MyLogger:This is log message number 551
DEBUG:MyLogger:This is log message number 552
DEBUG:MyLogger:This is log message number 553
DEBUG:MyLogger:This is log message number 554
DEBUG:MyLogger:This is log message number 555
DEBUG:MyLogger:This is log message number 556
DEBUG:MyLogger:This is log message number 557
DEBUG:MyLogger:This is log message number 558
DEBUG:MyLogger:This is log message number 559
DEBUG:MyLogger:This is log message number 560
DEBUG:MyLogger:This is log message number 561
DEBUG:MyLogger:This is log message number 562
DEBUG:MyLogger:This is log message number 563
DEBUG:MyLogger:This is log message number 564
DEBUG:MyLogger:This is log message number 565
DEBUG:MyLogger:This is log message number 566
DEBUG:MyLogger:This is log message number 567
DEBUG:MyLogger:This is log message number 568
DEBUG:MyLogger:This is log message number 569
DEBUG:MyLogger:This is log message number 570
DEBUG:MyLogger:This is log message number 571
DEBUG:MyLogger:This is log message number 572
DEBUG:MyLogger:This is log message number 573
DEBUG:MyLogger:This is log message number 574
DEBUG:MyLogger:This is log message number 575
DEBUG:MyLogger:This is log message number 576
DEBUG:MyLogger:This is log message number 577
DEBUG:MyLogger:This is log message number 578
DEBUG:MyLogger:This is log message number 579
DEBUG:MyLogger:This is log message number 580
DEBUG:MyLogger:This is log message number 581
DEBUG:MyLogger:This is log message number 582
DEBUG:MyLogger:This is log message number 583
DEBUG:MyLogger:This is log message number 584
DEBUG:MyLogger:This is log message number 585
DEBUG:MyLogger:This is log message number 586
DEBUG:MyLogger:This is log message number 587
DEBUG:MyLogger:This is log message number 588
DEBUG:MyLogger:This is log message number 589
DEBUG:MyLogger:This is log message number 590
DEBUG:MyLogger:This is log message number 591
DEBUG:MyLogger:This is log message number 592
DEBUG:MyLogger:This is log message number 593
DEBUG:MyLogger:This is log message number 594
DEBUG:MyLogger:This is log message number 595
DEBUG:MyLogger:This is log message number 596
DEBUG:MyLogger:This is log message number 597
DEBUG:MyLogger:This is log message number 598
DEBUG:MyLogger:This is log message number 599
DEBUG:MyLogger:This is log message number 600
DEBUG:MyLogger:This is log message number 601
DEBUG:MyLogger:This is log message number 602
DEBUG:MyLogger:This is log message number 603
DEBUG:MyLogger:This is log message number 604
DEBUG:MyLogger:This is log message number 605
DEBUG:MyLogger:This is log message number 606
DEBUG:MyLogger:This is log message number 607
DEBUG:MyLogger:This is log message number 608
DEBUG:MyLogger:This is log message number 609
DEBUG:MyLogger:This is log message number 610
DEBUG:MyLogger:This is log message number 611
DEBUG:MyLogger:This is log message number 612
DEBUG:MyLogger:This is log message number 613
DEBUG:MyLogger:This is log message number 614
DEBUG:MyLogger:This is log message number 615
DEBUG:MyLogger:This is log message number 616
DEBUG:MyLogger:This is log message number 617
DEBUG:MyLogger:This is log message number 618
DEBUG:MyLogger:This is log message number 619
DEBUG:MyLogger:This is log message number 620
DEBUG:MyLogger:This is log message number 621
DEBUG:MyLogger:This is log message number 622
DEBUG:MyLogger:This is log message number 623
DEBUG:MyLogger:This is log message number 624
DEBUG:MyLogger:This is log message number 625
DEBUG:MyLogger:This is log message number 626
DEBUG:MyLogger:This is log message number 627
DEBUG:MyLogger:This is log message number 628
DEBUG:MyLogger:This is log message number 629
DEBUG:MyLogger:This is log message number 630
DEBUG:MyLogger:This is log message number 631
DEBUG:MyLogger:This is log message number 632
DEBUG:MyLogger:This is log message number 633
DEBUG:MyLogger:This is log message number 634
DEBUG:MyLogger:This is log message number 635
DEBUG:MyLogger:This is log message number 636
DEBUG:MyLogger:This is log message number 637
DEBUG:MyLogger:This is log message number 638
DEBUG:MyLogger:This is log message number 639
DEBUG:MyLogger:This is log message number 640
DEBUG:MyLogger:This is log message number 641
DEBUG:MyLogger:This is log message number 642
DEBUG:MyLogger:This is log message number 643
DEBUG:MyLogger:This is log message number 644
DEBUG:MyLogger:This is log message number 645
DEBUG:MyLogger:This is log message number 646
DEBUG:MyLogger:This is log message number 647
DEBUG:MyLogger:This is log message number 648
DEBUG:MyLogger:This is log message number 649
DEBUG:MyLogger:This is log message number 650
DEBUG:MyLogger:This is log message number 651
DEBUG:MyLogger:This is log message number 652
DEBUG:MyLogger:This is log message number 653
DEBUG:MyLogger:This is log message number 654
DEBUG:MyLogger:This is log message number 655
DEBUG:MyLogger:This is log message number 656
DEBUG:MyLogger:This is log message number 657
DEBUG:MyLogger:This is log message number 658
DEBUG:MyLogger:This is log message number 659
DEBUG:MyLogger:This is log message number 660
DEBUG:MyLogger:This is log message number 661
DEBUG:MyLogger:This is log message number 662
DEBUG:MyLogger:This is log message number 663
DEBUG:MyLogger:This is log message number 664
DEBUG:MyLogger:This is log message number 665
DEBUG:MyLogger:This is log message number 666
DEBUG:MyLogger:This is log message number 667
DEBUG:MyLogger:This is log message number 668
DEBUG:MyLogger:This is log message number 669
DEBUG:MyLogger:This is log message number 670
DEBUG:MyLogger:This is log message number 671
DEBUG:MyLogger:This is log message number 672
DEBUG:MyLogger:This is log message number 673
DEBUG:MyLogger:This is log message number 674
DEBUG:MyLogger:This is log message number 675
DEBUG:MyLogger:This is log message number 676
DEBUG:MyLogger:This is log message number 677
DEBUG:MyLogger:This is log message number 678
DEBUG:MyLogger:This is log message number 679
DEBUG:MyLogger:This is log message number 680
DEBUG:MyLogger:This is log message number 681
DEBUG:MyLogger:This is log message number 682
DEBUG:MyLogger:This is log message number 683
DEBUG:MyLogger:This is log message number 684
DEBUG:MyLogger:This is log message number 685
DEBUG:MyLogger:This is log message number 686
DEBUG:MyLogger:This is log message number 687
DEBUG:MyLogger:This is log message number 688
DEBUG:MyLogger:This is log message number 689
DEBUG:MyLogger:This is log message number 690
DEBUG:MyLogger:This is log message number 691
DEBUG:MyLogger:This is log message number 692
